Batch,Department,Semester,Course Number,Course Name,L,T,E,P,O,Credits,Category
2024,AE,1,MA1101,"Functions of Several Variables",3,1,0,0,6,10,S
2024,AE,1,PH1010,"Physics I",3,1,0,0,6,10,S
2024,AE,1,AM1100,"Engineering Mechanics",3,1,0,0,6,10,E
2024,AE,1,CS1100,"Introduction to Programming",3,0,0,3,6,12,C
2024,AE,1,WS1301,"Workshop-I",0,0,0,3,0,3,E
2024,AE,1,GN1101,"Life Skills 1",0,0,0,0,4,4,G
2024,AE,1,ID1300,"Recreation Course",0,0,0,0,2,2,G
2024,AE,2,MA2102,"Differential Equations",3,0,0,0,6,9,S
2024,AE,2,PH1020,"Physics II",3,1,0,0,6,10,S
2024,AE,2,PH1030,"Physics Laboratory I",0,0,0,3,1,4,S
2024,AE,2,AS1300,"Thermodynamics for Aerospace Engineering",3,1,0,0,5,9,E
2024,AE,2,AS1020,"Fluid Mechanics",3,1,0,0,5,9,P
2024,AE,2,AS2101,"Introduction to Aerospace Engineering",1,0,0,2,2,5,P
2024,AE,2,WS1302,"Workshop-II",0,0,0,3,0,3,E
2024,AE,2,GN1102,"Life Skills 2",0,0,0,0,2,2,G
2024,AE,2,ID1300,"Recreation Course",0,0,0,0,2,2,G
2024,AE,2,NCC,"(NC1010)/NSO (NS1020)/ NSS (NS1030)",0,0,0,0,2,2,G
2024,AE,3,MA2104,"Complex Analysis",3,0,0,0,6,9,S
2024,AE,3,EE1100/EE1101,"Basic Electrical Engineering/ Signals and Systems",3,1,0,0,6,10,E
2024,AE,3,AS2050,"Aerodynamics",3,1,0,0,5,9,P
2024,AE,3,AS2030,"Gas Dynamics",3,1,0,0,5,9,P
2024,AE,3,AS2010,"Basic Strength of Materials",3,1,0,0,5,9,P
2024,AE,3,AS2510,"Low Speed Lab",1,0,0,2,2,5,P
2024,AE,3,AS2100,"Basic Aerospace Engineering Lab",1,0,0,2,2,5,P
2024,AE,4,MA2101,"Linear Algebra via Matrices",3,0,0,0,6,9,S
2024,AE,4,AS2040,"Flight Dynamics I",3,1,0,0,5,9,P
2024,AE,4,AS2070,"Aerospace Structural Mechanics",3,1,0,0,5,9,P
2024,AE,4,AS2080,"Vibrations",3,1,0,0,5,9,P
2024,AE,4,AS3270,"Propulsion I",3,1,0,0,5,9,P
2024,AE,4,AS3510,"Aero Lab I",1,0,0,2,1,4,P
2024,AE,4,ME1480,"Engineering Drawing",1,0,0,3,3,7,E
2024,AE,4,HS3050,"Professional Ethics",2,0,0,0,0,2,G
2024,AE,5,CY,"Chemistry",3,1,0,0,6,10,S
2024,AE,5,AS3050,"Flight Dynamics II",3,1,0,0,5,9,P
2024,AE,5,AS3271,"Propulsion II",3,1,0,0,5,9,P
2024,AE,5,AS3020,"Aerospace Structures",3,1,0,0,5,9,P
2024,AE,5,AS3520,"Aero Lab II",1,0,0,2,1,4,P
2024,AE,5,AS2520,"Propulsion Lab",0,0,0,2,0,2,P
2024,AE,5,MS,"Entrepreneurship",3,0,0,0,6,9,M
2024,AE,5,ID1200,"Ecology and Environment",2,0,0,0,0,2,G
2024,AE,5,GN1002,"POSH Training-II",3,0,0,0,0,0,S
2024,AE,6,HSE1,"Humanities Elective 1",3,0,0,0,6,9,H
2024,AE,6,UA,"Unallotted Credits",0,0,0,0,0,18,UA
2024,AE,6,ASXXXX,"Design Elective*",2,1,2,3,4,12,P
2024,AE,6,ASXXXX,"Department Elective 1**",3,0,0,0,6,9,P
2024,AE,7,HSE2,"Humanities Elective 2",3,0,0,0,6,9,H
2024,AE,7,UA,"Unallotted Credits",0,0,0,0,0,18,UA
2024,AE,7,ASXXXX,"Department Elective 2**",3,0,0,0,6,9,P
2024,AE,7,ASXXXX,"Department Elective 3**",3,0,0,0,6,9,P
2024,AE,8,HSE3,"Humanities Elective 3",3,0,0,0,6,9,H
2024,AE,8,UA,"Unallotted Credits",0,0,0,0,0,18,UA
2024,AE,8,ASXXXX,"Department Elective 4**",3,0,0,0,6,9,P
2024,BE,1,BT1000,"Introduction to Biological Sciences & Engineering",3,0,0,0,6,9,P
2024,BE,1,CY1001,"Chemistry I: Structure, Bonding & Reactivity",3,1,0,0,6,10,S
2024,BE,1,MA1101,"Functions of Several Variables",3,1,0,0,6,10,S
2024,BE,1,PH1010,"Physics I",3,1,0,0,6,10,S
2024,BE,1,PH1030,"Physics Laboratory I",0,0,0,3,1,4,S
2024,BE,1,WS1301,"Workshop-I",0,0,0,3,0,3,E
2024,BE,1,GN1101,"Life Skills 1",2,0,0,0,2,4,G
2024,BE,1,ID1300,"Recreation Course",0,0,0,0,2,2,G
2024,BE,1,ID1200,"Ecology and Environment",2,0,0,0,0,2,G
2024,BE,1,NCC,"(NC1010)/NSO (NS1020)/NSS (NS1030)",0,0,0,0,2,2,G
2024,BE,2,MAE,"1 Mathematics Elective (from MA basket)",3,0,0,0,6,9,S
2024,BE,2,PHE,"Physics Elective (from PH basket)",3,0,0,0,6,9,S
2024,BE,2,CY1051,"Chemistry II: Introduction to Spectroscopic Methods",3,0,0,0,6,9,S
2024,BE,2,BT1020,"Material and Energy Balances",2,1,0,0,6,9,P
2024,BE,2,CY1002,"Chemistry Lab I",0,0,0,3,0,3,S
2024,BE,2,ME1480,"Engineering Drawing",0,1,0,3,3,7,EEC
2024,BE,2,WS1302,"Workshop-II",0,0,0,3,0,3,E
2024,BE,2,GN1102,"Life Skills 2",2,0,0,0,0,2,G
