BaseCourseNo,Slot,CourseName,NewCredit,OfferedforBTechDD,AllocationType,InstructorName,Prerequisite
AM5021,A ,"Materials, Mechanics and Design",9,Yes,SI,ANURADHA BANERJEE,Nil
AM5119,A ,Physiology for Engineers,9,No,,ARUN KUMAR THITTAI,
AM5390,A ,Advanced Solid Mechanics,9,Yes,SI,ANURADHA BANERJEE,
AM5520,A ,Medical Electronics,9,No,,RAGHAVENDRA SAI V V,
AM5600,A ,Computational Methods in Mechanics,9,Yes,SI,Ilaksh,
AM6515,A ,Boundary Layer Stability ,9,Yes,SI,RINKU MUKHERJEE,
AS3050*,A ,Flight Dynamics II,12,Yes,CG,LUOYI TAO,
AS3271,A ,Propulsion II,10,Yes,CG,ASWATHY SURENDRAN,
AS5020,A ,Aerospace Propulsion,9,No,,CHAKRAVARTHY S R,
AS5030*,A ,Aerospace Structures,12,No,,SHANTANU SHASHIKANT MULAY; VELMURUGAN R,
AS5040,A ,Flight Mechanics,11,Yes,CG,Devaprakash Muniraj,
AS6000,A ,Basic Concepts in Aerospace Engineering,12,No,,Bharath; RAMAKRISHNA P A,
AS6000,A ,Basic Concepts in Aerospace Engineering,12,Yes,CG,SRIRAM P,
AS6520,A ,Mathematics for Aerospace Engineers,9,No,,SHYAM KERALAVARMA,
BT1000,A ,Introduction to Biological Sciences & Engineering,9,No,,GREESHMA THRIVIKRAMAN,
BT2022,A ,Biostatistics,10,Yes,ST,RAJAMANICKAM MURUGAN,
BT5041,A ,Downstream Processing,10,Yes,ST,RICHA KARMAKAR,
BT5051,A ,Transport Phenomena in Biological Systems,10,Yes,ST,SURAISHKUMAR G K,
BT5180,A ,Biological Vision,9,Yes,ST,SANTHOSH,
BT5320,A ,Medicinal Chemistry and Drug Design,9,Yes,ST,KESAVAN V,BT1022; BT4012
BT5330,A ,Human Physiology,9,Yes,ST,NINITHA A J,
BT5410,A ,Infection Biology,9,Yes,ST,VANI JANAKIRAMAN,COT
BT6220,A ,Theoretical Biophysics,9,Yes,ST,RAJAMANICKAM MURUGAN,
CE3030,A ,Water Resources Engineering,12,Yes,SI,BALAJI NARASIMHAN; SREEPARVATHY VIJAY,
CE4010,A ,Construction Project Management,10,Yes,SI,ASHWIN MAHALINGAM; NIKHIL BUGALIA IITM,
CE5150,A ,Environmental Chemistry and Microbiology,12,Yes,SI,LIGY PHILIP; TANUSHREE PARSAI,NIL
CE5160,A ,Biological Process Design for Wastewater Treatment,12,Yes,SI,LIGY PHILIP,NIL
CE5300,A ,Applied Soil Mechanics,10,Yes,SI,DODAGOUDAR G R; Ramesh Kannan Kandasami,"CE 2060, CE 3350 or equivalent (for B. Tech or DD)"
CE5310,A ,Advanced Soil Mechanics,12,Yes,SI,THYAGARAJ T,"CE 2060, CE 3350 or equivalent (for B. Tech or DD)"
CE5450,A ,Applied Hydraulic Engg,9,Yes,SI,MURTY B S,NIL
CE5460,A ,Ground Water Engineering,12,Yes,SI,Venkatraman,NIL
CE5480,A ,Water Resources Planning and Management,12,Yes,SI,SUBBARAO PICHUKA,
CE5530,A ,Pavement Materials,9,Yes,SI,MURALI KRISHNAN J,NIL
CE5610,A ,Finite Element Analysis,12,Yes,SI,NAGESWARA RAO B,
CE5620,A ,Structural Dynamics,10,Yes,SI,NAGESWARA RAO B; SUDHEENDRA HERKAL,NIL
CE5660,A ,Advanced design of metal structures,10,Yes,SI,SATHISH KUMAR S R,CE3050 or equivalent
CE5950,A ,Characterization of Construction Materials ,9,Yes,SI,ASLAM KUNHI MOHAMED; Piyush Chaunsali,
CE6010,A ,Construction Contracts & Specifications,9,Yes,SI,MURALI JAGANNATHAN,NIL
CE6040,A ,Cement Chemistry,9,Yes,SI,ASLAM KUNHI MOHAMED; Piyush Chaunsali,COT
CE6810,A ,Geometric Design of Highways,9,Yes,SI,Atul Narayan S P,NIL
CH1100,A ,Fundamentals of Thermodynamics,10,No,,RENGANATHAN T,Nil
CH4010,A ,Process and Product Design,10,No,,RAVI KRISHNA R; SHANKAR NARASIMHAN S; SRIDHARAKUMAR NARASIMHAN; SUSY VARUGHESE,
CH5030,A ,Transport Phenomena,10,No,,PUSHPAVANAM S,NIL
CH5520,A ,Mathematical Methods for Chemical Engineers,10,No,,PUSHPAVANAM S,NIL
CS2320,A ,Introduction to Graph Theory,9,No,,Nishad,CS1200 or equivalent
CS3700,A ,Introduction to Database Systems,12,Yes,CG,SREENIVASA KUMAR P,CS1200 and CS2700
CS5130,A ,Mathematical Tools for Theoretical Computer Science,12,Yes,CG,JAYALAL SARMA M N,CS1200 and  MA1102 or equivalent
CS6014,A ,Computability and Complexity,12,Yes,CG,JAYALAL SARMA M N,CS2200 or equivalent for UG
CS6046,A ,Multi-armed bandits,12,Yes,CG,KOTA SRINIVAS REDDY,(CS6015 or CS5820 or MA2040 or EE5110 or EE3110) AND (CS6015 or MA2030 or MA2031 or MA2150 or MA5310 or EE5351 or EE5120 or MA5101 or MA5310)
CS6251,A ,Computational Models of Cognition ,12,Yes,CG,SUTANU CHAKRABORTI,CS5011/CS6690/CS6380
CS6370,A ,Natural Language Processing,12,Yes,CG,SUTANU CHAKRABORTI,NIL
CS6852,A ,Theory and Applications of Ontologies,12,Yes,CG,SREENIVASA KUMAR P,
CV2090,A ,Probability & Statistics for CE ,12,Yes,SI,KARTHIK K SRINIVASAN; RAGHUKANTH S T G,Nil
CV5105,A ,MATRIX & FINITE ELEMENT ANALYSES,9,No,,SARAVANAN U,
CY1013,A ,Mathematics-I,10,No,,SANJAY KUMAR; SOORAJ K,
CY1050,A ,Macromolecules as Engineering Materials,9,No,,DHAMODHARAN R; RAMESH GARDAS,COT
CY5011,A ,Transition Metal and Bioinorganic Chemistry,9,No,,BHYRAPPA P; MURTHY N N; SANJIB PANDA,COT
CY5012,A ,Main Group Chemistry and Spectroscopic Characterization of Inorganic Compounds,9,No,,ARNAB RIT; MURTHY N N,COT
CY6011,A ,Solid State Chemistry,9,No,,DESAI AAMOD VIKAS; KARTIK CHANDRA MONDAL,COT
CY6102,A ,Advanced Bioinorganic Chemistry,9,No,,BHYRAPPA P,COT
CY6108,A ,Medicinal Chemistry,9,No,,INDRAPAL SINGH AIDHEN; MURALEEDHARAN K M,
CY6118,A ,Experimental Methods in Chemistry,9,No,,PRADEEP T,COT
DA1004,A ,Probability & Statistics for Engineers,10,No,,GANAPATHY KRISHNAMURTHI,
DA2400,A ,Machine Learning I,9,No,,KRISHNA PILLUTLA; SRIDHARAKUMAR NARASIMHAN,
DA5000,A ,Mathematical Foundations of Data Science,12,No,,GITAKRISHNAN RAMADURAI; Nandan Sudarsanam,
ED1021,A ,Introduction to Computation and Visualization,12,No,,Nirav Patel,
ED5017,A ,Digital Signal Processing for Engineering Design,10,No,,DEEPAK RONANKI,"ED2130 for B.Tech. and DD.
CoT for M.Tech., M.S. and Ph.D."
ED5040,A ,"Human Anatomy, Physiology & Biomechanics",12,No,,SHANKAR RAM C S,
ED5040,A ,"Human Anatomy, Physiology & Biomechanics",12,Yes,SI,KIRTHIKA C P; SURESH R,
ED5160,A ,Fundamentals of Automotive Systems,15,No,,SHANKAR RAM C S,
EE2005,A ,Electrical Machines and Lab,15,No,,KAMALESH HATUA; KRISHNA VASUDEVAN,EE2015
EE3007,A ,RF and Optical Communication,9,Yes,ST,SUDHARSANAN SRINIVASAN,
EE3110,A ,Probability Foundations for Electrical Engineers,10,Yes,ST,ANDREW THANGARAJ; KRISHNA JAGANNATHAN,
EE3110,A ,Probability Foundations for Electrical Engineers,12,Yes,ST,ANDREW THANGARAJ; Avishek,
EE5002,A ,Analysis of Networks & Systems,12,No,,MATHIAZAGAN C,UG courses on Electrical Circuits and Networks and systems
EE5110,A ,Probability Foundations for Electrical Engineers,12,No,,VENKATESH R,
EE5121,A ,Convex Optimization,12,Yes,ST,RAHUL HARISHCHANDRA MESHRAM,
EE5253,A ,Computer Methods in Power Systems Analysis,9,Yes,ST,KRISHNA S,EE3003 for B.Tech and Dual Degree students
EE5257,A ,Energy Management Systems and SCADA,9,Yes,ST,SWARUP K S,Power Systems
EE5313,A ,Semiconductor Device Modelling,12,No,,ANJAN CHAKRAVORTHY,
EE5342,A ,Compound Semiconductors - Properties and Applications,9,Yes,ST,SAYAK DUTTA GUPTA,"EE5313 (Semiconductor Device Modelling) for EE M.Tech, MS and Ph.D; EE 3001 (Solid State Devices) for EE B.Tech/DD and EE3301 (Introduction to Semiconductor Devices) for non-EE B.Tech/DD students"
EE5345,A ,Semiconductor Power Devices,9,Yes,ST,SAYAK DUTTA GUPTA,Semiconductor Device Modeling
EP3220,A ,Solid State Physics,9,Yes,SI,RANJIT KUMAR NANDA,
HS2011,A ,Foundations of Social and Political Thought,10,Yes,SI,SUDHIR CHELLA RAJAN,
HS3011,A ,The Rise of the Novel,9,Yes,SI,V DAVID JEYABALAN,
HS4012,A ,Built Environment and Society,10,Yes,SI,SOLOMON J BENJAMIN,
HS4022,A ,Introduction to Cultural Studies,10,Yes,SI,Avishek Parui,
HS5090,A ,Short Story Classic,10,Yes,SI,A Divya,
HS5505,A ,Foundations of Social and Political Thought,10,No,,SUDHIR CHELLA RAJAN,
HS5505,A ,Foundations of Social and Political Thought,10,Yes,SI,SUDHIR CHELLA RAJAN,
HS5602,A ,The Arc of the Renaissance ,10,Yes,SI,S P DHANAVEL,Nil
